"Asteroid_ID";"Name";"Diameter_Km";"Velocity_Kmps";"Composition";"Detection_Source";"Detection_Date"
"2024 BX1";"Apollo-class NEO";0.01;13.4;"Stony";"NASA JPL";"2024-01-21"
"2024 CL2";"Near-Earth Object";0.05;9.8;"Carbonaceous";"ESA NEOCC";"2024-02-11"
"2024 GQ2";"Apollo-class NEO";0.03;14.1;"Stony";"Pan-STARRS";"2024-03-29"
"2024 KM1";"Near-Earth Object";0.02;7.9;"Stony";"NASA JPL";"2024-05-02"
"2024 MW3";"Potentially Hazardous Asteroid";0.21;22.4;"Stony";"NASA JPL";"2024-06-01"
"2024 PD1";"Near-Earth Object";0.06;10.3;"Stony";"Pan-STARRS";"2024-07-02"
"2024 SA";"Potentially Hazardous Asteroid";0.19;18.7;"Metallic";"NASA JPL";"2024-08-21"
"2024 TX1";"Apollo-class NEO";0.03;9.1;"Stony";"ATLAS Survey";"2024-09-05"
"2024 WX3";"Near-Earth Object";0.08;16.2;"Metallic";"NASA JPL";"2024-10-19"
"2024 XA";"Potentially Hazardous Asteroid";0.23;20.6;"Stony";"ESA NEOCC";"2024-11-03"
"2025 AA";"Apollo-class NEO";0.03;8.2;"Stony";"NASA JPL";"2025-01-05"
"2025 CD1";"Potentially Hazardous Asteroid";0.2;19.3;"Metallic";"NASA JPL";"2025-02-03"
"2025 EF2";"Near-Earth Object";0.06;10.8;"Carbonaceous";"ESA NEOCC";"2025-03-01"
"2025 HL";"Near-Earth Object";0.09;15.5;"Metallic";"NASA JPL";"2025-03-29"
"2025 JM2";"Potentially Hazardous Asteroid";0.22;21.1;"Stony";"ESA NEOCC";"2025-04-11"
"2025 NP";"Near-Earth Object";0.06;11.1;"Carbonaceous";"ESA NEOCC";"2025-06-05"
"2026 BY1";"Near-Earth Object";0.02;10.4;"Carbonaceous";"NASA JPL (Predicted)";"2026-02-09"
"2026 CC";"Apollo-class NEO";0.03;12.1;"Stony";"NASA JPL (Predicted)";"2026-02-07"
"2027 AA1";"Apollo-class NEO";0.04;11.2;"Stony";"NASA JPL (Predicted)";"2027-01-18"
"2027 DF2";"Potentially Hazardous Asteroid";0.21;19.8;"Metallic";"NASA JPL (Predicted)";"2027-06-22"
"2028 AB";"Near-Earth Object";0.06;12.3;"Carbonaceous";"ESA NEOCC (Predicted)";"2028-02-14"
"2028 FN";"Potentially Hazardous Asteroid";0.19;21.4;"Metallic";"NASA JPL (Predicted)";"2028-07-27"
"2030 XR";"Potentially Hazardous Asteroid";0.23;22.6;"Metallic";"NASA JPL (Predicted)";"2030-10-02"
"2031 MT";"Near-Earth Object";0.09;17.3;"Carbonaceous";"ESA NEOCC (Predicted)";"2031-08-17"
"2032 FN3";"Potentially Hazardous Asteroid";0.26;24.8;"Metallic";"NASA JPL (Predicted)";"2032-09-14"
"99942";"Apophis";0.34;15.9;"Stony";"NASA JPL";"2029-04-13"
